"","1","2","3","4","5","6"
"1",0.00261,0.00047,0.00047,0.00047,0.00482,0.00047
"2",0.00186,0.00142,0.00142,0.00142,0.00454,0.00142
"3",0.00186,0.00519,0.00519,0.00519,0.00321,0.00519
"4",0.00261,0.00331,0.00331,0.00331,0.00594,0.00331
"5",0.00793,0.00378,0.00378,0.00378,0.0065,0.00378
"6",0.01688,0.01511,0.01511,0.01511,0.01565,0.01511
"7",0.02611,0.03353,0.03353,0.03353,0.02861,0.03353
"8",0.05364,0.06454,0.06454,0.06454,0.04835,0.06454
"9",0.06154,0.07083,0.07083,0.07083,0.051,0.07083
"10",0.06415,0.05478,0.05478,0.05478,0.06407,0.05478
"11",0.07338,0.0595,0.0595,0.0595,0.07001,0.0595
"12",0.07869,0.06847,0.06847,0.06847,0.07329,0.06847
"13",0.07757,0.07508,0.07508,0.07508,0.07748,0.07508
"14",0.07254,0.0628,0.0628,0.0628,0.07483,0.0628
"15",0.08093,0.07603,0.07603,0.07603,0.0814,0.07603
"16",0.08102,0.08075,0.08075,0.08075,0.08685,0.08075
"17",0.08298,0.07461,0.07461,0.07461,0.0793,0.07461
"18",0.07198,0.08311,0.08311,0.08311,0.07294,0.08311
"19",0.05231,0.05525,0.05525,0.05525,0.051,0.05525
"20",0.03683,0.0425,0.0425,0.0425,0.03892,0.0425
"21",0.02126,0.02881,0.02881,0.02881,0.02166,0.02881
"22",0.01706,0.01936,0.01936,0.01936,0.02089,0.01936
"23",0.0082,0.01039,0.01039,0.01039,0.01167,0.01039
"24",0.00606,0.01039,0.01039,0.01039,0.00706,0.01039
